recordid,customer_id,customer_name,email,region,meter_id,housing_type,reading_timestamp,energy_usage_kWh,baseline_kWh,spike_detected,spike_percentage,reason_detected,alert_sent,alert_time,resolved
REC000001,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:00:00,0.53,0.64,FALSE,0,,FALSE,,
REC000002,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:28:48,0.47,0.44,FALSE,0,,FALSE,,
REC000003,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:57:36,0.38,0.35,FALSE,0,,FALSE,,
REC000004,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 01:26:24,1.04,0.94,FALSE,0,,FALSE,,
REC000005,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 01:55:12,0.26,0.32,FALSE,0,,FALSE,,
REC000006,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 02:24:00,0.42,0.47,FALSE,0,,FALSE,,
REC000007,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 03:07:12,0.31,0.57,FALSE,0,,FALSE,,
REC000008,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 03:36:00,0.66,0.56,FALSE,0,,FALSE,,
REC000009,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 04:04:48,0.81,0.85,FALSE,0,,FALSE,,
REC000010,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 04:33:36,0.56,0.63,FALSE,0,,FALSE,,
REC000011,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 05:02:24,0.65,0.71,FALSE,0,,FALSE,,
REC000012,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 05:31:12,0.82,0.76,FALSE,0,,FALSE,,
REC000013,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:00:00,0.84,0.83,FALSE,0,,FALSE,,
REC000014,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:28:48,0.4,0.45,FALSE,0,,FALSE,,
REC000015,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:57:36,0.3,0.36,TRUE,0,,FALSE,,
REC000016,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 07:26:24,0.48,0.39,FALSE,0,,FALSE,,
REC000017,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 07:55:12,0.82,0.92,FALSE,0,,FALSE,,
REC000018,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 08:24:00,0.73,0.75,FALSE,0,,FALSE,,
REC000019,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 09:07:12,0.31,0.33,FALSE,0,,FALSE,,
REC000020,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 09:36:00,0.94,0.9,FALSE,0,,FALSE,,
REC000021,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 10:04:48,0.86,0.58,TRUE,48.28,Schedule change,TRUE,1/1/2024 10:20,TRUE
REC000022,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 10:33:36,0.59,0.47,FALSE,0,,FALSE,,
REC000023,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 11:02:24,1.19,1.17,FALSE,0,,FALSE,,
REC000024,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 11:31:12,1.22,1.13,FALSE,0,,FALSE,,
REC000025,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:00:00,0.28,0.38,FALSE,0,,FALSE,,
REC000026,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:28:48,0.38,0.54,FALSE,0,,FALSE,,
REC000027,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:57:36,0.92,1.05,FALSE,0,,FALSE,,
REC000028,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 13:26:24,0.7,0.79,FALSE,0,,FALSE,,
REC000029,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 13:55:12,0.49,0.43,FALSE,0,,FALSE,,
REC000030,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 14:24:00,1.05,0.96,FALSE,0,,FALSE,,
REC000031,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 15:07:12,0.97,0.99,FALSE,0,,FALSE,,
REC000032,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 15:36:00,0.34,0.4,FALSE,0,,FALSE,,
REC000033,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 16:04:48,0.93,1.08,FALSE,0,,FALSE,,
REC000034,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 16:33:36,0.47,0.36,FALSE,0,,FALSE,,
REC000035,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 17:02:24,0.7,0.58,FALSE,0,,FALSE,,
REC000036,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 17:31:12,0.78,0.87,FALSE,0,,FALSE,,
REC000037,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:00:00,1,1.1,FALSE,0,,FALSE,,
REC000038,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:28:48,0.93,0.94,FALSE,0,,FALSE,,
REC000039,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:57:36,1.13,0.98,FALSE,0,,FALSE,,
REC000040,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 19:26:24,0.77,0.74,FALSE,0,,FALSE,,
REC000041,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 19:55:12,0.73,0.77,FALSE,0,,FALSE,,
REC000042,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 20:24:00,0.39,0.4,FALSE,0,,FALSE,,
REC000043,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 21:07:12,0.19,0.33,FALSE,0,,FALSE,,
REC000044,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 21:36:00,0.86,0.76,FALSE,0,,FALSE,,
REC000045,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 22:04:48,1.07,1.12,FALSE,0,,FALSE,,
REC000046,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 22:33:36,0.83,0.98,FALSE,0,,FALSE,,
REC000047,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 23:02:24,0.49,0.51,FALSE,0,,FALSE,,
REC000048,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 23:31:12,0.41,0.45,FALSE,0,,FALSE,,
REC000049,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:00:00,1.19,1.14,FALSE,0,,FALSE,,
REC000050,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:28:48,1.2,1.08,FALSE,0,,FALSE,,
REC000051,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 00:57:36,1.16,1.02,FALSE,0,,FALSE,,
REC000052,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 01:26:24,1.13,1.11,FALSE,0,,FALSE,,
REC000053,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 01:55:12,0.56,0.59,FALSE,0,,FALSE,,
REC000054,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 02:24:00,0.64,0.68,FALSE,0,,FALSE,,
REC000055,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 03:07:12,0.77,1.04,FALSE,0,,FALSE,,
REC000056,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 03:36:00,0.53,0.5,FALSE,0,,FALSE,,
REC000057,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 04:04:48,0.46,0.41,FALSE,0,,FALSE,,
REC000058,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 04:33:36,0.57,0.59,FALSE,0,,FALSE,,
REC000059,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 05:02:24,0.68,0.77,FALSE,0,,FALSE,,
REC000060,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 05:31:12,1.31,1.17,FALSE,0,,FALSE,,
REC000061,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:00:00,1.17,1.17,FALSE,0,,FALSE,,
REC000062,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:28:48,0.4,0.57,FALSE,0,,FALSE,,
REC000063,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 06:57:36,0.57,0.56,FALSE,0,,FALSE,,
REC000064,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 07:26:24,0.71,0.75,FALSE,0,,FALSE,,
REC000065,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,02/01/2024 07:55:12,0.4,0.35,FALSE,0,,FALSE,,
