recordid,customer_id,customer_name,email,region,meter_id,housing_type,reading_timestamp,energy_usage_kWh,baseline_kWh,spike_detected,spike_percentage,reason_detected,alert_sent,alert_time,resolved,reading_ts,alert_ts,spike_detected_b,alert_sent_b,resolved_b,excess_kwh,ratio,excess_pct,rule_spike,detectable,alert_latency_min,category,is_fault,excess_cost_gbp,hour,date,day_name
REC000001,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:00:00,0.53,0.64,False,0.0,,False,,,2024-01-01 00:00:00,,False,False,,-0.10999999999999999,0.828125,-17.1875,False,True,,,False,0.0,0,2024-01-01,Monday
REC000002,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:28:48,0.47,0.44,False,0.0,,False,,,2024-01-01 00:28:48,,False,False,,0.02999999999999997,1.0681818181818181,6.818181818181812,False,True,,,False,0.008585999999999991,0,2024-01-01,Monday
REC000003,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 00:57:36,0.38,0.35,False,0.0,,False,,,2024-01-01 00:57:36,,False,False,,0.030000000000000027,1.0857142857142859,8.571428571428585,False,True,,,False,0.008586000000000009,0,2024-01-01,Monday
REC000004,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 01:26:24,1.04,0.94,False,0.0,,False,,,2024-01-01 01:26:24,,False,False,,0.10000000000000009,1.1063829787234043,10.63829787234043,False,True,,,False,0.028620000000000027,1,2024-01-01,Monday
REC000005,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 01:55:12,0.26,0.32,False,0.0,,False,,,2024-01-01 01:55:12,,False,False,,-0.06,0.8125,-18.75,False,True,,,False,0.0,1,2024-01-01,Monday
REC000006,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 02:24:00,0.42,0.47,False,0.0,,False,,,2024-01-01 02:24:00,,False,False,,-0.04999999999999999,0.8936170212765958,-10.638297872340418,False,True,,,False,0.0,2,2024-01-01,Monday
REC000007,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 03:07:12,0.31,0.57,False,0.0,,False,,,2024-01-01 03:07:12,,False,False,,-0.25999999999999995,0.543859649122807,-45.614035087719294,False,True,,,False,0.0,3,2024-01-01,Monday
REC000008,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 03:36:00,0.66,0.56,False,0.0,,False,,,2024-01-01 03:36:00,,False,False,,0.09999999999999998,1.1785714285714286,17.85714285714286,False,True,,,False,0.028619999999999996,3,2024-01-01,Monday
REC000009,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 04:04:48,0.81,0.85,False,0.0,,False,,,2024-01-01 04:04:48,,False,False,,-0.039999999999999925,0.9529411764705883,-4.70588235294117,False,True,,,False,0.0,4,2024-01-01,Monday
REC000010,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 04:33:36,0.56,0.63,False,0.0,,False,,,2024-01-01 04:33:36,,False,False,,-0.06999999999999995,0.888888888888889,-11.111111111111105,False,True,,,False,0.0,4,2024-01-01,Monday
REC000011,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 05:02:24,0.65,0.71,False,0.0,,False,,,2024-01-01 05:02:24,,False,False,,-0.05999999999999994,0.915492957746479,-8.450704225352101,False,True,,,False,0.0,5,2024-01-01,Monday
REC000012,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 05:31:12,0.82,0.76,False,0.0,,False,,,2024-01-01 05:31:12,,False,False,,0.05999999999999994,1.0789473684210527,7.8947368421052655,False,True,,,False,0.017171999999999982,5,2024-01-01,Monday
REC000013,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:00:00,0.84,0.83,False,0.0,,False,,,2024-01-01 06:00:00,,False,False,,0.010000000000000009,1.0120481927710843,1.2048192771084265,False,True,,,False,0.0028620000000000026,6,2024-01-01,Monday
REC000014,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:28:48,0.4,0.45,False,0.0,,False,,,2024-01-01 06:28:48,,False,False,,-0.04999999999999999,0.888888888888889,-11.111111111111105,False,True,,,False,0.0,6,2024-01-01,Monday
REC000015,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 06:57:36,0.3,0.36,True,0.0,,False,,,2024-01-01 06:57:36,,True,False,,-0.06,0.8333333333333334,-16.666666666666664,False,True,,,False,0.0,6,2024-01-01,Monday
REC000016,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 07:26:24,0.48,0.39,False,0.0,,False,,,2024-01-01 07:26:24,,False,False,,0.08999999999999997,1.2307692307692306,23.076923076923062,False,True,,,False,0.025757999999999993,7,2024-01-01,Monday
REC000017,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 07:55:12,0.82,0.92,False,0.0,,False,,,2024-01-01 07:55:12,,False,False,,-0.10000000000000009,0.8913043478260869,-10.869565217391308,False,True,,,False,0.0,7,2024-01-01,Monday
REC000018,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 08:24:00,0.73,0.75,False,0.0,,False,,,2024-01-01 08:24:00,,False,False,,-0.020000000000000018,0.9733333333333333,-2.6666666666666727,False,True,,,False,0.0,8,2024-01-01,Monday
REC000019,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 09:07:12,0.31,0.33,False,0.0,,False,,,2024-01-01 09:07:12,,False,False,,-0.020000000000000018,0.9393939393939393,-6.060606060606066,False,True,,,False,0.0,9,2024-01-01,Monday
REC000020,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 09:36:00,0.94,0.9,False,0.0,,False,,,2024-01-01 09:36:00,,False,False,,0.039999999999999925,1.0444444444444443,4.444444444444429,False,True,,,False,0.011447999999999979,9,2024-01-01,Monday
REC000021,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 10:04:48,0.86,0.58,True,48.28,Schedule change,True,1/1/2024 10:20,True,2024-01-01 10:04:48,2024-01-01 10:20:00,True,True,True,0.28,1.4827586206896552,48.27586206896552,True,True,15.2,Behavioural,False,0.08013600000000001,10,2024-01-01,Monday
REC000022,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 10:33:36,0.59,0.47,False,0.0,,False,,,2024-01-01 10:33:36,,False,False,,0.12,1.2553191489361701,25.531914893617014,False,True,,,False,0.034344,10,2024-01-01,Monday
REC000023,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 11:02:24,1.19,1.17,False,0.0,,False,,,2024-01-01 11:02:24,,False,False,,0.020000000000000018,1.017094017094017,1.7094017094017033,False,False,,,False,0.005724000000000005,11,2024-01-01,Monday
REC000024,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 11:31:12,1.22,1.13,False,0.0,,False,,,2024-01-01 11:31:12,,False,False,,0.09000000000000008,1.0796460176991152,7.964601769911517,False,False,,,False,0.025758000000000024,11,2024-01-01,Monday
REC000025,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:00:00,0.28,0.38,False,0.0,,False,,,2024-01-01 12:00:00,,False,False,,-0.09999999999999998,0.736842105263158,-26.315789473684205,False,True,,,False,0.0,12,2024-01-01,Monday
REC000026,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:28:48,0.38,0.54,False,0.0,,False,,,2024-01-01 12:28:48,,False,False,,-0.16000000000000003,0.7037037037037037,-29.629629629629626,False,True,,,False,0.0,12,2024-01-01,Monday
REC000027,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 12:57:36,0.92,1.05,False,0.0,,False,,,2024-01-01 12:57:36,,False,False,,-0.13,0.8761904761904762,-12.380952380952381,False,False,,,False,0.0,12,2024-01-01,Monday
REC000028,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 13:26:24,0.7,0.79,False,0.0,,False,,,2024-01-01 13:26:24,,False,False,,-0.09000000000000008,0.8860759493670886,-11.392405063291145,False,True,,,False,0.0,13,2024-01-01,Monday
REC000029,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 13:55:12,0.49,0.43,False,0.0,,False,,,2024-01-01 13:55:12,,False,False,,0.06,1.1395348837209303,13.953488372093027,False,True,,,False,0.017172,13,2024-01-01,Monday
REC000030,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 14:24:00,1.05,0.96,False,0.0,,False,,,2024-01-01 14:24:00,,False,False,,0.09000000000000008,1.09375,9.375,False,True,,,False,0.025758000000000024,14,2024-01-01,Monday
REC000031,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 15:07:12,0.97,0.99,False,0.0,,False,,,2024-01-01 15:07:12,,False,False,,-0.020000000000000018,0.9797979797979798,-2.020202020202022,False,True,,,False,0.0,15,2024-01-01,Monday
REC000032,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 15:36:00,0.34,0.4,False,0.0,,False,,,2024-01-01 15:36:00,,False,False,,-0.06,0.85,-15.000000000000002,False,True,,,False,0.0,15,2024-01-01,Monday
REC000033,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 16:04:48,0.93,1.08,False,0.0,,False,,,2024-01-01 16:04:48,,False,False,,-0.15000000000000002,0.861111111111111,-13.888888888888895,False,False,,,False,0.0,16,2024-01-01,Monday
REC000034,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 16:33:36,0.47,0.36,False,0.0,,False,,,2024-01-01 16:33:36,,False,False,,0.10999999999999999,1.3055555555555556,30.555555555555557,False,True,,,False,0.031481999999999996,16,2024-01-01,Monday
REC000035,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 17:02:24,0.7,0.58,False,0.0,,False,,,2024-01-01 17:02:24,,False,False,,0.12,1.206896551724138,20.68965517241379,False,True,,,False,0.034344,17,2024-01-01,Monday
REC000036,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 17:31:12,0.78,0.87,False,0.0,,False,,,2024-01-01 17:31:12,,False,False,,-0.08999999999999997,0.896551724137931,-10.344827586206895,False,True,,,False,0.0,17,2024-01-01,Monday
REC000037,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:00:00,1.0,1.1,False,0.0,,False,,,2024-01-01 18:00:00,,False,False,,-0.10000000000000009,0.9090909090909091,-9.090909090909093,False,False,,,False,0.0,18,2024-01-01,Monday
REC000038,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:28:48,0.93,0.94,False,0.0,,False,,,2024-01-01 18:28:48,,False,False,,-0.009999999999999898,0.9893617021276597,-1.0638297872340274,False,True,,,False,0.0,18,2024-01-01,Monday
REC000039,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 18:57:36,1.13,0.98,False,0.0,,False,,,2024-01-01 18:57:36,,False,False,,0.1499999999999999,1.1530612244897958,15.306122448979576,False,True,,,False,0.042929999999999975,18,2024-01-01,Monday
REC000040,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 19:26:24,0.77,0.74,False,0.0,,False,,,2024-01-01 19:26:24,,False,False,,0.030000000000000027,1.0405405405405406,4.054054054054057,False,True,,,False,0.008586000000000009,19,2024-01-01,Monday
REC000041,CUST001,Shirley Thomas-Cox,nicholashart@atkinson-parker.com,London,MTR0001,Detached,01/01/2024 19:55:12,0.73,0.77,False,0.0,,False,,,2024-01-01 19:55:12,,False,False,,-0.040000000000000036,0.948051948051948,-5.1948051948051965,False,True,,,False,0.0,19,2024-01-01,Monday
