recordid,customer_id,customer_name,region,housing_type,meter_id,reading_ts,energy_usage_kWh,baseline_kWh,excess_kwh,excess_pct,excess_cost_gbp,reason_detected,category,is_fault,alert_sent,alert_ts,alert_latency_min,resolved,matches_1_4x_rule,waste_rank,pct_rank
REC005041,CUST016,Miss Sian Hughes,Glasgow,Flat,MTR0016,2024-01-01 00:00:00,0.53,0.35,0.18000000000000005,51.428571428571445,0.05151600000000001,Guest visit,Behavioural,False,True,2024-01-01 00:28:00,28.0,True,True,68,46
REC002353,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-01 00:00:00,0.7,0.45,0.24999999999999994,55.555555555555536,0.07154999999999999,Guest visit,Behavioural,False,True,2024-01-01 00:28:00,28.0,False,True,22,31
REC004372,CUST014,Miss Charlotte Robertson,Leeds,Flat,MTR0014,2024-01-01 01:26:24,0.61,0.38,0.22999999999999998,60.52631578947367,0.065826,Guest visit,Behavioural,False,True,2024-01-01 01:34:00,7.6,True,True,31,19
REC004709,CUST015,Frederick Daniels,London,Detached,MTR0015,2024-01-01 01:55:12,0.57,0.39,0.17999999999999994,46.153846153846146,0.051515999999999985,Overnight appliance,Appliance,True,True,2024-01-01 02:08:00,12.8,False,True,75,70
REC000341,CUST002,Mr Guy Parsons,Bristol,Detached,MTR0002,2024-01-01 01:55:12,0.5,0.32,0.18,56.25,0.051516,Schedule change,Behavioural,False,True,2024-01-01 02:12:00,16.8,True,True,72,29
REC005718,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-01 02:24:00,0.49,0.3,0.19,63.33333333333333,0.054378,Schedule change,Behavioural,False,True,2024-01-01 02:34:00,10.0,False,True,62,13
REC001688,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-01 03:36:00,0.53,0.33,0.2,60.606060606060595,0.057240000000000006,Overnight appliance,Appliance,True,True,2024-01-01 03:59:00,23.0,True,True,53,17
REC004042,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-01 04:33:36,0.45,0.31,0.14,45.16129032258065,0.040068000000000006,Heater malfunction,Appliance,True,True,2024-01-01 04:35:00,1.4,True,True,106,79
REC006061,CUST019,Abigail Jordan,London,Detached,MTR0019,2024-01-01 06:00:00,0.75,0.53,0.21999999999999997,41.50943396226414,0.06296399999999999,Schedule change,Behavioural,False,True,2024-01-01 06:22:00,22.0,True,True,37,101
REC001357,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-01 06:00:00,0.53,0.36,0.17000000000000004,47.22222222222223,0.04865400000000001,Schedule change,Behavioural,False,True,2024-01-01 06:11:00,11.0,True,True,80,64
REC000015,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-01 06:57:36,0.3,0.36,-0.06,-16.666666666666664,0.0,,,False,False,,,,False,114,114
REC001364,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-01 09:36:00,0.53,0.36,0.17000000000000004,47.22222222222223,0.04865400000000001,Guest visit,Behavioural,False,True,2024-01-01 09:31:00,-5.0,False,True,80,64
REC000021,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-01 10:04:48,0.86,0.58,0.28,48.27586206896552,0.08013600000000001,Schedule change,Behavioural,False,True,2024-01-01 10:20:00,15.2,True,True,8,59
REC004060,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-01 13:26:24,0.78,0.54,0.24,44.44444444444444,0.068688,Overnight appliance,Appliance,True,True,2024-01-01 13:37:00,10.6,True,True,25,84
REC000703,CUST003,Joel Jackson,Manchester,Detached,MTR0003,2024-01-01 15:07:12,0.55,0.39,0.16000000000000003,41.025641025641036,0.04579200000000001,Heater malfunction,Appliance,True,True,2024-01-01 15:02:00,-5.2,False,True,93,105
REC000367,CUST002,Mr Guy Parsons,Bristol,Detached,MTR0002,2024-01-01 15:07:12,0.59,0.33,0.25999999999999995,78.78787878787877,0.07441199999999999,Schedule change,Behavioural,False,True,2024-01-01 15:22:00,14.8,True,True,14,3
REC004064,CUST013,Ms Jacqueline Baker,Manchester,Flat,MTR0013,2024-01-01 15:36:00,0.58,0.41,0.16999999999999998,41.46341463414633,0.048653999999999996,Schedule change,Behavioural,False,True,2024-01-01 15:39:00,3.0,False,True,87,102
REC001723,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-01 21:07:12,0.49,0.34,0.14999999999999997,44.11764705882351,0.04292999999999999,Heater malfunction,Appliance,True,True,2024-01-01 21:16:00,8.8,False,True,104,86
REC005757,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-01 22:04:48,0.58,0.38,0.19999999999999996,52.63157894736841,0.05723999999999999,Schedule change,Behavioural,False,True,2024-01-01 22:09:00,4.2,True,True,57,42
REC000729,CUST003,Joel Jackson,Manchester,Detached,MTR0003,2024-01-02 04:04:48,0.67,0.42,0.25000000000000006,59.52380952380953,0.07155000000000002,Guest visit,Behavioural,False,True,2024-01-02 04:07:00,2.2,False,True,17,21
REC006450,CUST020,Joseph Nelson-White,Glasgow,Detached,MTR0020,2024-01-02 08:24:00,0.52,0.32,0.2,62.5,0.057240000000000006,Heater malfunction,Appliance,True,True,2024-01-02 08:37:00,13.0,True,True,53,15
REC002420,CUST008,Miss Tracy Lamb,London,Detached,MTR0008,2024-01-02 09:36:00,0.58,0.35,0.22999999999999998,65.71428571428571,0.065826,Heater malfunction,Appliance,True,True,2024-01-02 09:54:00,18.0,True,True,31,11
REC001414,CUST005,George Price,Leeds,Detached,MTR0005,2024-01-02 10:33:36,0.62,0.4,0.21999999999999997,54.999999999999986,0.06296399999999999,Schedule change,Behavioural,False,False,,,,True,37,33
REC003433,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-02 12:00:00,0.45,0.32,0.13,40.625,0.037206,Overnight appliance,Appliance,True,True,2024-01-02 12:03:00,3.0,True,True,113,108
REC003434,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-02 12:28:48,0.72,0.5,0.21999999999999997,43.99999999999999,0.06296399999999999,Overnight appliance,Appliance,True,True,2024-01-02 12:59:00,30.2,True,True,37,88
REC000075,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-02 12:57:36,0.51,0.34,0.16999999999999998,50.0,0.048653999999999996,Heater malfunction,Appliance,True,True,2024-01-02 13:18:00,20.4,True,True,87,49
REC002763,CUST009,Harry Bell,Manchester,Semi-Detached,MTR0009,2024-01-02 12:57:36,0.58,0.36,0.21999999999999997,61.111111111111114,0.06296399999999999,Guest visit,Behavioural,False,True,2024-01-02 13:07:00,9.4,False,True,37,16
REC005793,CUST018,Ms Marie Morrison,Manchester,Flat,MTR0018,2024-01-02 16:04:48,0.59,0.3,0.29,96.66666666666666,0.082998,Guest visit,Behavioural,False,True,2024-01-02 16:26:00,21.2,True,True,5,1
REC000084,CUST001,Shirley Thomas-Cox,London,Detached,MTR0001,2024-01-02 17:31:12,0.77,0.52,0.25,48.07692307692308,0.07155,Guest visit,Behavioural,False,True,2024-01-02 17:40:00,8.8,False,True,19,60
REC001767,CUST006,Hilary Reynolds,Leeds,Flat,MTR0006,2024-01-02 18:57:36,0.49,0.33,0.15999999999999998,48.484848484848484,0.04579199999999999,Overnight appliance,Appliance,True,True,2024-01-02 19:16:00,18.4,False,True,96,58
REC003784,CUST012,Sally Williams-Wilson,Leeds,Flat,MTR0012,2024-01-02 19:26:24,0.86,0.61,0.25,40.98360655737705,0.07155,Overnight appliance,Appliance,True,True,2024-01-02 19:59:00,32.6,True,True,19,106
REC003453,CUST011,Alan Thompson,Leeds,Detached,MTR0011,2024-01-02 22:04:48,0.66,0.44,0.22000000000000003,50.0,0.062964,Heater malfunction,Appliance,True,True,2024-01-02 22:14:00,9.2,True,True,36,49
